saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,sport,dport,seqnum,acknum,window,success,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
46.17.69.116,1950683438,192.168.1.64,1073850560,0,53,synack,443,48609,769178226,1781940046,29200,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434239
187.141.12.49,822906299,192.168.1.64,1073850560,26259,49,synack,443,40148,3934575171,3112759499,65535,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434345
78.141.9.244,4094266702,192.168.1.64,1073850560,0,51,synack,443,57807,3921141096,681665513,14520,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434430
115.42.45.99,1663904371,192.168.1.64,1073850560,0,47,synack,443,48257,2624906154,3630734961,14520,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434492
52.41.123.233,3917162804,192.168.1.64,1073850560,0,227,synack,443,45958,221930156,4207249839,26883,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434546
123.207.2.180,3020083067,192.168.1.64,1073850560,584,109,synack,443,35726,3222353511,695113346,8192,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434586
184.28.46.130,2184060088,192.168.1.64,1073850560,0,48,synack,443,43788,2503977606,1363367284,29200,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434632
24.50.103.97,1634152984,192.168.1.64,1073850560,0,49,synack,443,57874,1512109095,15996416,14600,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434681
177.85.220.197,3319551409,192.168.1.64,1073850560,0,49,synack,443,60109,3360058443,3337566278,29200,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434801
66.198.250.152,2566571586,192.168.1.64,1073850560,0,50,synack,443,47850,260129547,956270548,14600,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434874
185.57.11.108,1812675001,192.168.1.64,1073850560,0,54,synack,443,51173,3505321686,1060444490,14600,1,0,0,2019-01-09T17:24:51.434+0300,1547043891,434967
59.26.59.55,926620219,192.168.1.64,1073850560,0,47,synack,443,53979,1898275482,1512837255,14600,1,0,0,2019-01-09T17:24:52.457+0300,1547043892,457400
23.194.106.107,1802158615,192.168.1.64,1073850560,0,49,synack,443,44342,2707388671,3821001671,29200,1,0,0,2019-01-09T17:24:52.457+0300,1547043892,457642
213.177.32.236,3961565653,192.168.1.64,1073850560,273,114,synack,443,50129,3842924119,3609367711,8192,1,0,0,2019-01-09T17:24:52.457+0300,1547043892,457778
14.246.15.120,2014311950,192.168.1.64,1073850560,0,51,synack,443,33473,1370637453,3931290252,14520,1,0,0,2019-01-09T17:24:52.457+0300,1547043892,457977
212.154.50.98,1647483604,192.168.1.64,1073850560,49321,51,synack,443,43721,1855610071,3904516949,65535,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458095
62.216.194.198,3334658110,192.168.1.64,1073850560,0,52,synack,443,44362,3451056051,374558579,14600,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458314
213.124.19.10,169049301,192.168.1.64,1073850560,13130,113,synack,443,42006,3054745339,4117689442,8192,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458414
99.33.51.176,2956140899,192.168.1.64,1073850560,0,46,synack,443,32869,1571671769,1743620940,5840,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458691
52.204.155.20,345754676,192.168.1.64,1073850560,0,236,synack,443,50374,3928917015,7355923,29200,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458848
58.82.229.186,3135590970,192.168.1.64,1073850560,0,52,synack,443,49903,105035077,2645582552,14600,1,0,0,2019-01-09T17:24:52.458+0300,1547043892,458960
52.218.248.130,2197346868,192.168.1.64,1073850560,37753,36,synack,443,51177,2044884998,2685797994,65535,1,0,0,2019-01-09T17:24:52.459+0300,1547043892,459090
217.23.8.221,3708295129,192.168.1.64,1073850560,0,53,synack,443,39099,574349045,3505413356,29200,1,0,0,2019-01-09T17:24:52.459+0300,1547043892,459144
84.39.136.43,730343252,192.168.1.64,1073850560,19871,241,synack,443,52835,2893063910,1079283561,8190,1,0,0,2019-01-09T17:24:52.459+0300,1547043892,459250
209.59.182.247,4155915217,192.168.1.64,1073850560,0,50,synack,443,40247,2229580910,3385096001,29200,1,0,0,2019-01-09T17:24:53.480+0300,1547043893,480907
212.243.209.244,4107400148,192.168.1.64,1073850560,0,52,synack,443,58799,2546315154,3844084853,14600,1,0,0,2019-01-09T17:24:53.481+0300,1547043893,481036
5.196.176.147,2477835269,192.168.1.64,1073850560,0,52,synack,443,51710,3290753069,2648303714,29200,1,0,0,2019-01-09T17:24:53.481+0300,1547043893,481111
104.130.141.142,2391638632,192.168.1.64,1073850560,0,50,synack,443,47186,3194152469,4113678327,29200,1,0,0,2019-01-09T17:24:53.481+0300,1547043893,481179
37.148.2.10,167941157,192.168.1.64,1073850560,43367,237,synack,443,44651,980033536,1652321743,2048,1,0,0,2019-01-09T17:24:53.481+0300,1547043893,481258
213.242.121.220,3698979541,192.168.1.64,1073850560,14276,240,synack,443,53234,1931392022,3938950099,65535,1,0,0,2019-01-09T17:24:53.481+0300,1547043893,481299
23.37.146.8,143795479,192.168.1.64,1073850560,0,49,synack,443,42809,2574452070,3595429165,29200,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505367
201.243.253.111,1878913993,192.168.1.64,1073850560,0,42,synack,443,54191,1564991249,3350914480,5840,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505467
202.218.16.96,1611717322,192.168.1.64,1073850560,0,42,synack,443,54988,3449960251,1502260034,14600,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505524
176.120.89.251,4216944816,192.168.1.64,1073850560,0,58,synack,443,60288,309800775,1274205443,29200,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505602
202.229.83.168,2824070602,192.168.1.64,1073850560,0,41,synack,443,35600,3763830650,3884580819,5840,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505732
50.16.167.10,178720818,192.168.1.64,1073850560,0,235,synack,443,40463,789207041,4290566658,26883,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505808
68.228.0.22,369157188,192.168.1.64,1073850560,0,52,synack,443,48226,1701289104,513840542,14600,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505877
23.37.235.215,3622511895,192.168.1.64,1073850560,0,52,synack,443,60730,3764246859,2149301513,29200,1,0,0,2019-01-09T17:24:54.505+0300,1547043894,505995
150.145.37.81,1361416598,192.168.1.64,1073850560,0,48,synack,443,34024,1779494581,3745883715,29200,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506051
23.72.213.96,1624590359,192.168.1.64,1073850560,0,50,synack,443,39095,2494376556,2344684394,29200,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506126
60.249.27.177,2971400508,192.168.1.64,1073850560,10935,48,synack,443,54491,3681763180,676319955,5840,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506175
5.51.160.236,3969921797,192.168.1.64,1073850560,0,52,synack,443,59965,743882503,1230181309,5840,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506244
80.83.119.103,1735873360,192.168.1.64,1073850560,0,52,synack,443,49616,1989656634,497804294,5840,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506284
23.2.18.16,269615639,192.168.1.64,1073850560,0,48,synack,443,34809,2515653930,2366842983,29200,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506345
186.92.87.202,3394723002,192.168.1.64,1073850560,0,42,synack,443,39154,2064949558,1533659645,5840,1,0,0,2019-01-09T17:24:54.506+0300,1547043894,506410
184.84.243.130,2196985016,192.168.1.64,1073850560,0,45,synack,443,44196,2249415889,3537408889,29200,1,0,0,2019-01-09T17:24:55.528+0300,1547043895,528800
177.10.235.205,3454732977,192.168.1.64,1073850560,0,46,synack,443,39411,4232035483,2264693623,5808,1,0,0,2019-01-09T17:24:55.528+0300,1547043895,528948
157.197.124.49,830260637,192.168.1.64,1073850560,0,49,synack,443,35089,16187892,3162480786,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529018
75.39.229.82,1390749515,192.168.1.64,1073850560,0,48,synack,443,36598,4046034296,2137782978,5840,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529091
180.250.39.126,2116549300,192.168.1.64,1073850560,12863,50,synack,443,43886,2460320891,3032827151,14600,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529149
45.39.91.62,1046161197,192.168.1.64,1073850560,0,47,synack,443,46041,416903414,3736981498,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529218
23.220.127.57,964680727,192.168.1.64,1073850560,0,49,synack,443,38967,899882940,3434078426,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529258
80.121.235.122,2062252368,192.168.1.64,1073850560,0,51,synack,443,47555,3752748915,2829919416,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529299
23.0.129.17,293666839,192.168.1.64,1073850560,0,48,synack,443,33265,3640285312,3934676894,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529365
104.114.130.123,2072146536,192.168.1.64,1073850560,0,52,synack,443,42163,1160657320,1335795933,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529405
199.232.249.66,1123674311,192.168.1.64,1073850560,0,54,synack,443,35887,3170026831,2781340413,28640,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529452
173.225.20.134,2249515437,192.168.1.64,1073850560,0,48,synack,443,37415,1519665578,644142482,29200,1,0,0,2019-01-09T17:24:55.529+0300,1547043895,529512
